@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
371,1.1,184,3,0,29,39,0.426,5,654,5.53,4.9,0
371,10.2,135,20,7,29,32,0.475,4,636.1,3.06,3.19,0
371,2.9,160,17,4,38,36,0.514,2,724.2,4.09,4.02,0
370,0.4,222,7,4,36,34,0.514,23,640,4.39,4.29,0
370,1.2,205,6,2,24,37,0.393,3,590.2,4.81,4.43,0
369,2.8,117,2,1,21,28,0.429,2,475.2,5.41,5.58,0
369,5.5,129,3,1,37,35,0.514,0,632.2,4.88,5,0
369,-1.3,271,1,1,27,37,0.422,11,562,4.34,4.58,0
369,4.2,188,5,5,18,30,0.375,5,520,3.39,3.37,0
369,-2.6,168,14,5,30,39,0.435,7,546.2,4.23,3.68,0
367,2.7,108,18,5,29,33,0.468,3,540.1,3.83,4.01,0
365,8.1,135,24,0,35,53,0.398,1,799.1,4.13,3.86,0
364,-0.8,219,1,0,23,35,0.397,0,561,4.94,5.11,0
364,4.9,319,0,0,27,21,0.563,20,566,3.36,3.73,0
363,5,140,7,2,29,39,0.426,0,605.2,4.53,4.24,0
363,4.4,164,23,6,36,49,0.424,6,833.2,4.42,3.98,0
362,7,142,16,5,31,37,0.456,5,544.1,3.87,4.18,0
360,3.8,293,0,0,20,36,0.357,4,558,4.66,5.12,0
360,1.6,167,12,2,30,39,0.435,5,632.2,4,3.9,0
360,-1.1,202,13,3,34,50,0.405,2,804.1,4.69,4.03,0
360,11.4,409,0,0,29,45,0.392,86,656.2,2.97,3.68,0
360,5.1,188,12,4,31,34,0.477,8,622.2,3.57,3.7,0
358,0.7,390,1,1,46,28,0.622,5,710,4.74,4.69,0
358,6.5,557,0,0,42,25,0.627,52,481.2,3.44,3.77,0
358,-0.5,189,1,0,18,30,0.375,14,466.1,4.9,4.16,0
358,12.5,516,0,0,62,57,0.521,110,817.1,2.85,3.28,0
357,4.3,386,0,0,17,20,0.459,48,390.2,3.82,4.01,0
357,5.5,379,0,0,29,25,0.537,163,407.1,3.89,4.15,0
357,4.9,362,0,0,32,26,0.552,16,435.1,3.82,4.16,0
357,-3.7,218,8,2,32,40,0.444,20,611.2,4.53,4.18,0
355,7.3,116,13,2,36,46,0.439,0,698.2,4.56,4.35,0
355,0.3,122,15,0,36,32,0.529,1,604.1,4.99,4.4,0
354,0.1,228,7,2,28,37,0.431,13,590,4.04,4.12,0
353,0,122,13,2,36,31,0.537,0,636,4.37,4.21,0
352,6.2,390,0,0,27,24,0.529,49,495.1,4.05,4.01,0
351,0.5,511,0,0,28,19,0.596,6,458.1,4.42,4.46,0
351,2.9,133,1,0,25,31,0.446,0,555,5.46,5,0
351,-0.6,343,5,2,39,44,0.47,13,679.2,4.95,4.7,0
351,5.5,280,1,0,28,34,0.452,34,559,3.77,3.81,0
351,0.2,112,21,6,30,49,0.38,0,623.1,4.03,3.68,0
350,3.1,367,0,0,28,40,0.412,53,570,4.33,4.84,0
350,1.2,321,0,0,23,33,0.411,14,611.1,4.62,4.21,0
349,5.4,212,6,3,28,42,0.4,4,667.2,4.08,4.33,0
349,4.3,342,0,0,33,41,0.446,26,566.1,3.99,4.45,0
349,2.2,120,7,4,26,31,0.456,1,528.2,3.18,3.7,0
348,4.8,163,4,3,26,46,0.361,1,577.1,5.32,5.12,0
348,4.1,279,27,6,55,59,0.482,11,944,4.23,4.28,0
348,2.8,181,12,3,36,38,0.486,17,652.1,3.84,3.9,0
347,-0.9,336,0,0,18,32,0.36,3,479,5.37,5.08,0
347,5.5,484,0,0,26,32,0.448,3,617.2,4.08,4.09,0
345,8.3,148,4,2,33,33,0.5,7,621,3.83,3.94,0
345,3.2,319,0,0,22,24,0.478,11,556.2,4.07,4.22,0
343,9.2,313,0,0,24,30,0.444,66,553,3.32,3.76,0
341,0.7,169,2,1,15,27,0.357,13,343.1,4.3,3.61,0
340,2.2,279,0,0,24,26,0.48,73,407,3.8,3.61,0
339,8.6,148,15,3,49,54,0.476,0,818.2,4.11,4.21,0
339,2.3,241,0,0,22,23,0.489,46,410.1,3.42,3.65,0
338,1.2,201,4,0,24,35,0.407,13,549.1,4.42,4.05,0
338,3.1,140,24,5,44,55,0.444,0,820.1,4.17,4.18,0
337,6,191,8,0,36,42,0.462,4,718,4,4.23,0
336,3.5,209,3,0,31,34,0.477,1,540.1,4.56,4.18,0
335,2.5,103,2,0,31,34,0.477,0,544.1,5.42,5.25,0
335,4.8,104,5,1,26,36,0.419,1,549.2,4.31,4.42,0
335,-0.8,157,5,1,19,28,0.404,9,459.1,4.39,4.12,0
335,4.8,262,0,0,26,23,0.531,23,483,3.54,4.08,0
335,8.7,129,39,10,49,45,0.521,1,806.1,3.76,3.69,0
334,6.3,449,0,0,47,43,0.522,45,696.1,3.83,4.2,0
334,4.9,297,0,0,25,11,0.694,19,470.1,3.65,4.07,0
333,6.3,403,0,0,28,23,0.549,22,526.2,3.93,4.14,0
332,3.5,280,0,0,13,22,0.371,88,255.1,3.42,3.73,0
332,1.6,181,1,1,24,38,0.387,10,515.1,4.61,4.36,0
331,1.8,314,1,0,25,18,0.581,3,450,5.24,4.83,0
331,2.5,333,0,0,22,25,0.468,8,455.1,4.17,4.31,0
331,10.1,376,3,3,38,27,0.585,10,700,3.15,3.45,0
330,0.2,248,36,8,58,49,0.542,10,928,4.29,3.95,0
329,8.2,385,0,0,18,33,0.353,42,584.2,3.03,3.71,0
328,0.1,312,4,0,32,42,0.432,3,685.2,4.62,4.88,0
328,10.5,497,0,0,47,41,0.534,91,606,3.03,3.21,0
328,1.8,239,7,1,38,40,0.487,7,657,4.47,4.81,0
327,0.2,117,1,1,16,31,0.34,0,465.2,5.72,5.39,0
325,5.3,159,10,1,42,53,0.442,2,745.1,4.14,4.09,0
325,1,192,9,3,25,56,0.309,2,659,4.56,4.28,0
324,2.6,567,0,0,17,24,0.415,7,415.2,3.9,4,0
323,8.4,129,27,2,38,38,0.5,3,718,4.15,4.05,0
323,7.2,348,0,0,34,36,0.486,87,563,3.13,3.24,0
322,3.1,234,2,1,31,28,0.525,2,474,4.2,4.52,0
322,3.1,134,4,0,14,26,0.35,3,410.1,4.17,4.03,0
320,2.7,277,2,0,30,23,0.566,19,562.2,4.17,3.93,0
320,3.8,136,4,1,30,31,0.492,1,618.1,4.6,4.47,0
320,4.9,314,6,3,40,46,0.465,21,837.2,3.69,4.04,0
320,7.3,196,15,1,20,41,0.328,8,606,4.43,4.36,0
319,2.6,329,2,2,24,44,0.353,110,521.1,4.92,4.22,0
319,4.8,325,3,1,32,27,0.542,15,673.1,3.76,3.95,0
319,3,229,0,0,18,19,0.486,7,422,3.54,3.54,0
319,2.6,140,12,0,30,35,0.462,10,590,4.24,3.84,0
318,10.3,222,5,3,31,32,0.492,5,678.1,3.68,3.9,0
317,5.8,169,9,1,18,32,0.36,6,570.1,3.82,3.95,0
316,5.6,131,4,1,36,36,0.5,0,656,4.49,4.59,0
316,0.8,135,17,3,20,42,0.323,3,597.2,4.59,4.05,0
315,5.5,228,8,2,35,35,0.5,35,548,3.78,3.58,0
315,4.4,137,15,5,34,32,0.515,2,589,3.47,3.97,0
315,8.8,269,0,0,25,23,0.521,64,492,2.71,3.3,0
314,5.6,333,1,1,24,14,0.632,8,471.2,3,3.65,0
314,6.7,413,2,0,25,28,0.472,22,519,3.92,4.04,0
314,3.9,276,0,0,21,23,0.477,45,471.1,3.27,3.24,0
313,5.7,163,0,0,20,37,0.351,3,487.2,4.02,3.64,0
313,2.9,138,15,7,35,33,0.515,3,597.1,3.65,3.92,0
312,-2.4,229,1,0,20,39,0.339,1,499.2,6.02,5.33,0
312,-2.7,144,13,2,38,47,0.447,3,670.1,4.87,4.55,0
310,4.4,145,5,1,33,39,0.458,0,583,4.75,4.96,0
307,3.9,317,0,0,16,28,0.364,100,324.2,4.21,3.72,0
307,1.2,543,0,0,40,33,0.548,29,626.1,4.01,3.76,0
307,-2.5,135,5,1,18,32,0.36,0,466.2,4.69,4.65,0
307,5.5,277,0,0,35,36,0.493,52,496.2,3.21,3.7,0
307,-1.5,166,4,1,26,36,0.419,7,583.2,4.01,3.7,0
307,5.1,121,33,6,34,32,0.515,4,634.1,3.82,4.02,0
306,6.4,140,6,2,20,17,0.541,14,389.2,3.14,3.43,0
305,-2.7,221,1,0,12,19,0.387,14,377.1,4.36,3.63,0
305,3.8,226,4,1,20,18,0.526,22,445.1,3.48,3.35,0
304,5.3,568,0,0,30,36,0.455,17,533,4.04,4.22,0
304,1.3,277,0,0,13,22,0.371,31,384.1,4.61,3.54,0
303,5.3,116,9,5,38,32,0.543,0,610.1,4.67,4.68,0
303,0.7,451,0,0,35,35,0.5,108,638.2,3.14,3.57,0
301,2.6,144,6,2,15,24,0.385,10,501,4.02,3.39,0
301,1,139,12,4,23,18,0.561,4,410,4.43,3.99,0
300,0.9,267,0,0,13,15,0.464,6,342,4.71,4.57,0
300,2.8,324,0,0,22,21,0.512,10,421.2,4.25,4.51,0
300,1.8,141,10,6,43,35,0.551,2,669.2,4.5,4.21,0
298,-0.3,154,2,0,25,28,0.472,4,427.1,5.41,4.32,0
297,0.8,103,1,0,19,27,0.413,0,389.2,5.29,4.94,0
297,5.9,106,8,3,30,31,0.492,0,580.1,3.43,3.44,0
297,4.2,346,1,0,33,26,0.559,39,536.1,3.66,4.08,0
297,-0.7,308,5,0,39,42,0.481,20,762,3.7,3.9,0
296,4.8,287,0,0,23,10,0.697,7,341.1,3.74,4.12,0
296,1,130,9,4,24,48,0.333,1,655.1,5.18,5.73,0
296,1.6,105,0,0,26,36,0.419,0,493.2,5.05,4.73,0
295,4.8,326,0,0,28,27,0.509,68,525.1,3.31,3.41,0
294,1,249,3,0,24,38,0.387,18,536,4,4.05,0
293,3.5,281,0,0,11,13,0.458,15,423.2,3.44,3.29,0
293,-4,210,4,2,15,30,0.333,10,408.2,5.11,3.95,0
292,-1.2,279,0,0,7,14,0.333,1,289.1,5.32,5.5,0
292,1,310,0,0,17,19,0.472,11,371.2,4.75,4.06,0
292,5.5,275,0,0,27,30,0.474,25,470.2,3.42,3.97,0
290,8,368,0,0,22,24,0.478,7,481.1,3.25,3.96,0
289,3.1,182,0,0,20,11,0.645,7,419.1,3.82,3.86,0
288,1.8,248,0,0,23,15,0.605,3,440,4.95,4.77,0
288,4.3,342,0,0,21,22,0.488,9,394,4.2,3.88,0
288,7.3,356,0,0,26,26,0.5,26,537.2,3.41,3.74,0
287,3.4,425,3,1,38,36,0.514,25,658.1,4.33,4.07,0
286,1.1,232,2,1,22,35,0.386,13,416.1,4.02,4.07,0
284,0.1,321,0,0,30,23,0.566,29,368,4.6,4.39,0
283,3.8,228,4,0,26,22,0.542,12,513.2,3.49,3.67,0
282,12.1,305,6,2,28,20,0.583,31,607,3.07,3.4,0
282,0,171,3,0,14,16,0.467,15,394.1,4.09,3.57,0
281,1.9,347,0,0,14,27,0.341,10,417,4.99,4.96,0
281,-0.7,154,1,0,22,26,0.458,6,435.2,5.06,4.36,0
281,1.3,125,14,1,26,36,0.419,0,603.1,4.1,4.3,0
280,1.3,132,5,3,22,28,0.44,1,483,4.23,3.92,0
279,-1.4,209,0,0,21,21,0.5,2,404.1,4.72,4.36,0
278,5.9,416,0,0,24,33,0.421,10,575.1,3.96,5.01,0
278,-0.6,195,0,0,8,17,0.32,4,277.1,5.52,4.91,0
278,3.9,328,0,0,24,23,0.511,10,505.1,3.63,4.08,0
278,-1.2,409,0,0,25,12,0.676,12,511.1,3.82,3.61,0
278,2.7,114,10,4,20,44,0.313,0,584,4.22,3.87,0
278,4.7,314,0,0,23,23,0.5,38,432,3.25,3.79,0
278,1.2,100,16,3,22,39,0.361,0,501,3.95,3.93,0
278,3.8,104,6,2,24,39,0.381,3,487.1,4.01,4.39,0
278,1.1,140,8,1,26,37,0.413,3,599.2,4.16,4.44,0
277,1.4,204,0,0,15,23,0.395,2,348.1,5.04,4.81,0
277,2.2,125,11,4,32,39,0.451,1,621.1,4.45,4.32,0
276,2.8,270,0,0,18,21,0.462,13,357,4.49,4.85,0
276,-3,181,1,0,15,28,0.349,13,431.1,4.4,3.49,0
275,0,256,0,0,14,15,0.483,14,334.2,4.65,4.22,0
275,3.2,116,2,0,14,22,0.389,3,406.1,3.94,4.35,0
275,-2.2,165,11,3,28,32,0.467,3,566,4.45,4.21,0
274,4.2,195,2,1,25,24,0.51,18,414.2,3.43,3.54,0
273,-1.5,208,0,0,17,18,0.486,3,391,5.11,4.79,0
273,3.9,340,0,0,28,16,0.636,14,484.2,3.51,3.54,0
272,4.3,216,6,1,19,17,0.528,9,450.1,3.22,3.94,0
270,0.9,134,2,2,17,20,0.459,7,372,4.43,4.38,0
268,4.7,250,0,0,29,28,0.509,36,448.2,3.85,4.23,0
268,0.8,127,5,4,17,38,0.309,3,493.1,4.29,3.61,0
267,1.3,113,16,1,26,31,0.456,4,477.2,3.71,3.65,0
267,1.9,210,4,0,25,36,0.41,20,468.2,4.36,3.71,0
266,2,119,14,2,19,39,0.328,5,495,4.87,3.99,0
265,5.2,308,0,0,18,19,0.486,23,338.1,3.83,4.52,0
265,2.1,307,1,0,15,23,0.395,26,447.1,4.25,4.15,0
263,5.7,141,15,4,32,26,0.552,15,490.1,3.63,3.69,0
262,2.1,236,2,0,24,28,0.462,8,499.1,3.73,3.75,0
262,1.6,122,3,1,14,32,0.304,4,406,4.68,4.19,0
262,6.4,120,15,1,35,38,0.479,2,642.2,4.24,4.39,0
262,0.5,191,2,0,18,23,0.439,11,414,3.87,3.66,0
261,-3,198,0,0,20,30,0.4,46,378.2,5.47,5.24,0
261,4.3,262,1,1,25,34,0.424,17,483.2,4.13,4.24,0
261,5.1,289,4,0,29,23,0.558,33,536,3.79,3.95,0
260,4.9,140,8,0,27,20,0.574,1,437,3.34,3.42,0
260,-0.9,223,2,0,24,26,0.48,21,546.2,4.76,4.42,0
259,0.5,286,0,0,18,15,0.545,9,406,5.23,4.69,0
259,0.8,337,0,0,14,15,0.483,2,282,4.44,4.22,0
259,4.9,284,0,0,20,19,0.513,11,417.2,3.6,3.68,0
259,3,202,1,1,19,13,0.594,4,318.2,3.7,3.88,0
259,3.2,186,4,1,20,23,0.465,4,516.1,4.15,4.22,0
259,-0.8,173,5,2,24,18,0.571,13,431.2,4.13,3.92,0
259,5.2,122,12,4,18,35,0.34,1,474,3.8,4.28,0
258,0.4,298,3,1,19,29,0.396,13,499.2,4.45,4.35,0
258,4.6,154,3,1,20,23,0.465,4,424,3.54,3.45,0
258,0.2,148,5,0,14,15,0.483,8,388.2,4.52,4.01,0
257,3,268,2,0,23,22,0.511,4,573.1,3.97,4.08,0
257,1.6,115,13,1,20,27,0.426,6,439.2,3.87,3.58,0
256,0.8,431,0,0,22,12,0.647,4,363,4.31,4.51,0
256,3.4,196,0,0,14,23,0.378,28,396,3.7,4.04,0
255,6.2,337,0,0,23,15,0.605,46,430.1,3.03,3.1,0
254,5.7,108,18,4,33,39,0.458,0,610,3.41,3.37,0
253,-1.9,104,1,0,18,25,0.419,1,368.1,5.74,5.19,0
253,2,276,0,0,24,13,0.649,5,314,4.13,3.89,0
253,1.5,156,2,0,17,25,0.405,1,437.1,4.61,4.34,0
252,2.3,291,1,0,27,22,0.551,7,414.1,3.91,3.89,0
252,5.5,203,2,0,21,23,0.477,13,489.2,3.47,4.06,0
252,2,205,1,0,13,18,0.419,6,345.1,4.4,3.76,0
252,3.3,166,9,3,29,30,0.492,4,526,4.14,4.09,0
251,2.5,163,5,3,21,34,0.382,4,545.1,4.19,4.29,0
251,4.1,284,1,1,20,29,0.408,22,450.2,3.67,3.94,0
251,4.5,219,2,1,25,26,0.49,9,482.2,3.64,3.76,0
250,5.4,350,0,0,24,22,0.522,9,384.1,4.14,3.98,0
250,1.8,348,0,0,33,33,0.5,23,433,3.66,4,0
250,4,238,8,1,26,36,0.419,34,550.2,3.79,3.92,0
250,4.9,292,0,0,16,13,0.552,54,312,3.09,3.08,0
249,1.4,144,5,1,19,27,0.413,2,393,4.08,3.45,0
248,3.9,260,0,0,15,29,0.341,98,291.2,3.49,3.24,0
248,0.9,142,2,0,17,19,0.472,3,440.2,4.35,4.14,0
248,4.8,238,0,0,20,19,0.513,18,479.1,3.94,4.15,0
248,3.4,207,0,0,17,19,0.472,32,334.1,3.12,3.57,0
248,6.8,187,0,0,18,23,0.439,37,271,3.09,3.74,0
248,0.2,129,5,0,16,25,0.39,16,378.1,5.11,4.45,0
247,4.7,288,0,0,16,14,0.533,11,314,3.67,4.47,0
247,2.3,159,8,2,27,27,0.5,9,518.2,4.37,4.31,0
247,1.4,173,0,0,20,20,0.5,10,371.1,4.34,3.92,0
247,4,144,9,3,18,17,0.514,6,439.2,3.97,3.64,0
245,0.8,290,0,0,20,34,0.37,17,536.2,4.63,4.37,0
245,1.3,181,2,0,15,48,0.238,20,460,3.89,4.23,0
245,3.1,176,11,3,44,37,0.543,13,701.2,4.13,4.21,0
244,0.1,217,0,0,14,15,0.483,2,293.1,4.88,5.46,0
244,-1.2,197,10,2,41,53,0.436,2,773.1,4.71,4.7,0
244,2,133,15,5,25,33,0.431,3,483,4.14,3.79,0
243,4.3,116,3,0,17,21,0.447,2,363.1,4.46,4.98,0
243,-2.3,103,16,0,13,37,0.26,1,438.2,5.58,4.67,0
242,3.7,228,0,0,7,16,0.304,129,223.1,3.14,3.43,0
242,2.6,255,3,2,25,26,0.49,7,500,4.37,4.08,0
242,1.9,195,5,0,19,23,0.452,7,423,4.11,3.93,0
241,1.2,122,3,0,25,47,0.347,1,574.2,5.42,4.91,0
241,3.1,149,13,2,24,29,0.453,9,518.2,3.87,3.75,0
241,1,114,4,2,11,21,0.344,5,353.1,4.51,3.79,0
240,0,124,1,1,21,25,0.457,2,395.1,5.55,5.14,0
240,2.2,453,0,0,18,20,0.474,11,364.1,5.19,4.42,0
240,7.1,129,34,6,43,45,0.489,1,750.1,3.26,3.71,0
239,-1.4,136,0,0,17,27,0.386,5,393.2,5.21,4.56,0
239,-2.3,122,8,1,25,37,0.403,1,531,5.05,4.48,0
239,-1.2,106,2,1,5,18,0.217,0,316.2,5.29,4.86,0
237,0.7,114,6,3,17,30,0.362,0,415.1,5.4,5.35,0
237,5.9,170,22,2,27,39,0.409,12,703.1,3.9,3.78,0
237,-2.1,173,3,0,24,35,0.407,12,508.1,4.27,4.61,0
235,6.3,251,0,0,23,17,0.575,22,465.1,3.23,3.83,0
234,-1.1,184,0,0,13,12,0.52,3,274,5.26,4.69,0
234,1.8,234,0,0,15,19,0.441,3,278.1,4.01,4.56,0
234,3.6,104,9,1,20,22,0.476,0,408,3.75,4.07,0
234,6.6,179,3,1,20,16,0.556,18,307.2,2.75,2.98,0
232,-0.4,254,0,0,14,13,0.519,2,214.2,4.82,4.93,0
231,1,138,2,0,14,14,0.5,1,328.2,4.08,4.44,0
230,1.7,107,14,4,31,32,0.492,1,582.2,3.88,4.05,0
229,-0.3,309,0,0,8,17,0.32,2,303,4.96,4.37,0
229,1.2,136,4,1,22,24,0.478,2,414.1,4.95,4.78,0
229,3.1,102,3,1,20,27,0.426,1,411,4.38,4.13,0
229,1,101,4,0,23,27,0.46,1,463.2,4.52,4.04,0
229,3.2,152,5,1,11,26,0.297,5,410.1,3.44,3.99,0
228,5.1,195,0,0,18,16,0.529,31,298.2,3.16,3.45,0
227,0.6,148,0,0,18,17,0.514,1,335,4.81,5.24,0
226,-0.1,160,2,1,14,32,0.304,3,438.2,6.01,5.47,0
225,3.7,240,0,0,14,16,0.467,30,285.2,3.91,4.3,0
224,-0.6,257,0,0,15,7,0.682,26,256.2,5.19,4.83,0
224,0.8,368,0,0,16,16,0.5,6,271,4.68,4.67,0
224,2.6,136,1,0,19,25,0.432,2,379.2,4.81,5.15,0
224,2.1,313,0,0,24,16,0.6,22,346,3.56,3.82,0
223,5.2,119,5,2,18,27,0.4,3,433.1,4.03,4.6,0
222,1.8,267,0,0,22,16,0.579,13,390,4.25,3.57,0
222,1.1,165,8,2,16,30,0.348,2,454,3.81,4.06,0
221,1.4,197,0,0,19,17,0.528,11,338,4.1,4.48,0
219,0.7,152,0,0,13,11,0.542,11,296.1,4.4,3.82,0
218,3.4,245,0,0,19,14,0.576,3,294.2,4.28,4.48,0
218,3.3,268,0,0,18,15,0.545,58,361.1,3.39,3.31,0
217,2.4,139,7,1,29,23,0.558,7,445.1,3.72,4.2,0
217,1.1,162,7,1,17,16,0.515,4,453.2,4.3,3.73,0
216,4.9,145,3,1,25,26,0.49,2,493.2,4.03,3.94,0
216,3.9,194,0,0,28,21,0.571,27,369.2,3.75,3.98,0
216,1.6,146,1,0,12,18,0.4,12,319.2,4.34,3.77,0
215,1.7,220,0,0,9,18,0.333,6,260,4.57,5.26,0
215,0.2,116,10,5,23,26,0.469,2,456.2,4.65,4.58,0
214,0,107,4,1,25,28,0.472,0,416.2,4.97,4.84,0
214,1.7,100,6,1,11,31,0.262,1,412.2,4.43,4.08,0
213,7.6,196,0,0,17,12,0.586,32,228.2,3.27,3.96,0
213,2.6,303,0,0,22,27,0.449,42,433.2,3.63,4.1,0
212,2.6,210,0,0,24,17,0.585,0,353.1,3.87,4.34,0
212,4.1,258,0,0,21,27,0.438,34,479.1,3.66,4.41,0
212,1.5,167,0,0,8,13,0.381,8,291.1,3.49,3.12,0
211,0.6,207,0,0,11,9,0.55,8,269.2,4.17,4.49,0
211,3.8,113,9,1,25,24,0.51,2,465.2,3.56,3.76,0
210,0.5,272,0,0,22,8,0.733,8,277.2,4.34,4.45,0
210,2,185,0,0,20,19,0.513,3,370.2,3.62,3.79,0
210,1.3,250,0,0,20,16,0.556,12,394,3.84,4.2,0
210,2.8,141,2,0,15,8,0.652,6,297.2,3.39,4,0
209,1.7,205,0,0,17,23,0.425,39,287,4.14,4.2,0
209,7,104,15,6,24,37,0.393,3,532.1,3.6,3.81,0
208,2,236,0,0,26,15,0.634,28,360.2,3.22,3.89,0
207,1.6,228,0,0,8,10,0.444,11,311.1,4.08,4.09,0
207,1.8,179,0,0,13,6,0.684,4,258,3.21,3.12,0
206,-0.6,112,0,0,17,20,0.459,0,305.1,5.78,5.23,0
206,2.8,274,0,0,20,17,0.541,1,371,4,5.1,0
206,0.3,194,0,0,10,15,0.4,29,201.1,4.43,4.92,0
205,2.3,115,5,3,18,34,0.346,0,476,3.88,4.13,0
204,3.8,187,1,0,22,30,0.423,45,400.1,4.41,4.36,0
203,3.6,157,0,0,15,13,0.536,1,221.1,3.98,4.56,0
203,5.9,303,0,0,31,26,0.544,45,546.1,3.33,3.71,0
202,-2,177,0,0,11,17,0.393,0,276,6.39,5.56,0
202,0.7,106,2,0,13,19,0.406,0,327,5.15,5.02,0
202,0.5,139,3,1,17,18,0.486,9,363.1,3.74,3.7,0
200,-0.9,142,2,0,11,9,0.55,4,312.1,4.47,3.98,0
199,1.2,203,0,0,7,18,0.28,1,267.1,5.05,4.24,0
199,-0.1,207,0,0,11,22,0.333,3,339.2,4.95,4.49,0
199,-1.2,204,0,0,7,12,0.368,19,274,4.11,3.69,0
198,0.2,229,0,0,17,13,0.567,3,302,4.41,4.36,0
198,2.3,218,0,0,23,17,0.575,9,343,4.43,4.24,0
197,5.4,184,1,0,16,25,0.39,26,361.1,2.86,3.45,0
197,-0.6,103,4,1,7,29,0.194,1,375.2,4.46,4.04,0
195,1.9,121,6,2,24,29,0.453,0,482,4.72,4.48,0
195,3,332,0,0,22,20,0.524,33,523.1,3.27,4.04,0
194,3,217,0,0,26,22,0.542,31,387.1,4.21,3.94,0
194,0.2,270,0,0,25,23,0.521,24,511,4.23,4.23,0
194,-0.3,120,7,0,18,23,0.439,8,374.2,4.37,3.73,0
194,0.9,174,0,0,16,17,0.485,10,285,3.79,3.54,0
194,-1.8,159,0,0,8,25,0.242,22,297.1,4.69,4.1,0
193,4.6,254,0,0,11,13,0.458,11,287.2,3.5,3.87,0
193,1.1,168,0,0,15,9,0.625,12,240,3.67,3.3,0
193,1.6,101,6,1,18,17,0.514,1,372.2,4.11,4.68,0
193,-1.2,109,4,0,14,18,0.438,2,331,4.35,3.95,0
192,-0.2,198,0,0,19,17,0.528,4,271,4.95,4.84,0
192,4.6,288,0,0,10,20,0.333,5,360,3.05,3.71,0
192,-0.9,122,8,3,22,31,0.415,0,537.2,4.45,4.38,0
191,1.9,111,9,1,32,28,0.533,1,495,3.96,4.01,0
190,1.4,124,2,1,18,17,0.514,11,331,4.11,4.13,0
190,-2.5,116,1,0,12,20,0.375,0,302.2,5.06,4.73,0
189,0.7,120,0,0,13,19,0.406,0,315.1,4.88,4.43,0
189,-0.9,121,0,0,3,10,0.231,5,243.1,4.73,5.03,0
188,1,113,3,0,13,18,0.419,8,343.2,4.43,4.26,0
188,-2.6,156,5,2,10,20,0.333,9,313,4.49,3.72,0
188,2.5,198,1,0,16,16,0.5,13,393,4.51,4,0
188,-1,198,3,0,17,23,0.425,9,408,3.84,4.09,0
188,1.2,176,0,0,17,14,0.548,26,280.2,4.26,4.28,0
187,2.6,148,1,0,15,18,0.455,4,391.2,4.18,4.7,0
187,3.3,137,1,0,17,17,0.5,3,339,4.25,4.18,0
185,-2.5,172,0,0,19,20,0.487,30,275.2,4.7,4.6,0
185,8.2,267,2,0,22,29,0.431,22,545.2,3.23,3.93,0
184,0.2,157,0,0,13,10,0.565,5,225,4.4,4.14,0
184,1.1,175,1,0,12,17,0.414,12,264.2,4.25,4.33,0
184,-0.6,108,1,1,10,29,0.256,2,321.1,4.57,3.48,0
184,-0.4,190,1,0,21,16,0.568,13,280.2,4.07,4.09,0
183,1.8,224,0,0,14,8,0.636,5,317.2,3.88,4.86,0
183,1.2,149,0,0,8,20,0.286,23,266.1,3.72,3.11,0
182,2.3,182,0,0,19,12,0.613,6,312.1,3.86,3.82,0
182,-0.8,143,8,2,19,24,0.442,9,393.1,4.67,3.94,0
181,-0.1,113,2,1,11,15,0.423,8,236,4.54,4.2,0
180,3,114,2,1,20,22,0.476,2,386,5.13,5.06,0
180,3.2,160,2,0,15,23,0.395,3,441,3.8,3.88,0
180,7.9,243,0,0,29,19,0.604,59,388.2,2.96,3.77,0
179,0.8,148,1,0,17,15,0.531,7,259.2,4.64,4.58,0
179,1.9,266,0,0,10,15,0.4,13,233.1,4.32,4.25,0
179,0.6,134,0,0,16,15,0.516,11,313.2,3.87,4.45,0
178,2.2,202,0,0,9,18,0.333,49,224,4.38,4.63,0
178,2,136,1,0,12,18,0.4,0,292.1,4.34,4.28,0
177,2.7,148,5,2,32,31,0.508,9,521.1,4.87,4.41,0
177,4.8,179,0,0,18,21,0.462,35,390,3.95,4.38,0
177,-0.5,129,6,1,14,17,0.452,2,318.2,4.89,4.66,0
177,4.8,193,0,0,19,18,0.514,24,302.1,2.95,3.44,0
176,1.7,182,0,0,25,21,0.543,2,299.1,3.73,4.29,0
175,0.5,230,0,0,14,10,0.583,1,243.2,4.54,4.79,0
175,1.1,191,0,0,18,9,0.667,23,293.1,3.74,3.98,0
174,4.4,254,0,0,16,21,0.432,33,363.2,3.49,4.16,0
174,1.3,162,0,0,15,19,0.441,22,267.1,3.7,3.39,0
174,4.9,162,0,0,14,16,0.467,27,262.1,3.16,3.38,0
173,-0.2,118,1,0,13,21,0.382,3,305.2,5.18,5.09,0
173,4.5,195,0,0,16,19,0.457,48,273,3.1,3.31,0
173,3.9,184,2,0,19,14,0.576,14,313.2,3.04,3.77,0
173,1.5,219,0,0,14,13,0.519,14,308,4,3.52,0
173,-0.2,145,0,0,11,10,0.524,21,212.2,3.94,3.79,0
