@relation other_shit

@attribute SO numeric
@attribute WAR numeric
@attribute G numeric
@attribute CG numeric
@attribute SHO numeric
@attribute W numeric
@attribute L numeric
@attribute W-L(Percent) numeric
@attribute SV numeric
@attribute IP numeric
@attribute ERA numeric
@attribute FIP numeric
@attribute HoF {0,1}

@data
1567,30.6,456,86,24,129,123,0.512,15,2203.1,3.37,3.21,0
1557,34,291,72,29,132,78,0.629,4,1785.1,3.14,3.1,0
1542,30.3,664,40,12,123,122,0.502,7,2233.1,3.86,3.77,0
1538,49.4,470,34,13,186,117,0.614,10,2591.2,3.51,3.8,0
1534,34.9,406,83,33,128,115,0.527,23,2147.1,2.92,2.96,0
1528,34.9,561,98,18,194,174,0.527,3,3367.2,3.76,3.95,0
1519,26.9,394,42,18,146,140,0.51,5,2442.2,4.16,4.27,0
1519,14.3,537,78,19,126,122,0.508,7,2343,3.78,3.6,0
1516,39.1,361,97,30,125,126,0.498,3,2363,3.18,3.06,0
1515,19.5,322,94,24,118,127,0.482,2,2174,3.39,3.09,0
1512,25.1,424,120,33,184,119,0.607,2,2730,3.24,3.49,0
1512,29.4,399,67,21,140,114,0.551,16,2152,3.21,3.34,0
1493,21.5,238,76,19,107,71,0.601,0,1606,3.15,2.86,0
1493,34.2,356,106,25,139,123,0.531,1,2333.2,3.31,3.26,0
1491,26,526,101,19,167,143,0.539,4,2770,3.9,3.84,0
1491,36.6,480,86,29,151,136,0.526,7,2652,3.38,3.39,0
1482,29.2,361,26,9,143,125,0.534,0,2265,4.35,4.01,0
1481,25,751,55,8,146,140,0.51,103,2477.2,3.46,3.16,0
1478,21.4,369,41,10,124,117,0.515,1,2190.2,3.9,3.66,0
1475,14.9,425,90,15,157,137,0.534,4,2464.1,3.86,3.71,0
1473,21,445,78,30,146,155,0.485,1,2708,3.68,3.74,0
1469,24,347,45,22,124,108,0.534,3,2068.2,3.54,3.38,0
1455,21,451,57,9,134,146,0.479,6,2494,3.99,3.98,0
1449,26.9,297,72,13,100,92,0.521,4,1730.1,3.47,3.53,0
1427,26.1,301,37,20,135,88,0.605,0,1895.2,3.67,4.01,0
1422,21.2,472,74,11,140,167,0.456,10,2517.1,4.23,4.04,0
1419,30.2,413,69,17,151,125,0.547,1,2593.2,3.59,3.59,0
1415,22.5,392,20,7,124,92,0.574,3,1890.1,4.24,4.33,0
1415,22.4,355,79,23,124,103,0.546,5,2076.2,3.25,3.25,0
1411,52.1,651,114,24,164,156,0.513,57,2684,3.24,3.37,0
1411,17.3,322,80,22,122,101,0.547,1,1898.1,3.58,3.61,0
1407,38.4,422,100,36,169,134,0.558,1,2626.2,3.39,3.59,0
1404,24,494,117,15,185,160,0.536,0,3043.2,3.96,4.07,0
1403,18.1,305,20,7,114,96,0.543,0,1791.2,4.09,3.69,0
1403,28.9,597,46,10,141,186,0.431,8,2772.1,4.23,4.27,0
1398,16.3,511,6,1,115,87,0.569,3,1777.2,4.49,4.36,0
1395,20.3,316,67,13,117,106,0.525,0,1963,3.63,3.78,0
1377,33.8,545,91,26,185,154,0.546,5,2871.1,3.47,3.73,0
1373,21.8,341,72,11,117,116,0.502,6,2108.1,3.83,3.68,0
1371,37.7,384,42,16,132,136,0.493,2,2223.1,3.96,3.68,0
1368,19,321,24,11,111,103,0.519,0,1959,3.89,4.25,0
1359,23.8,574,73,16,146,149,0.495,20,2529,3.6,3.76,0
1330,25,355,12,5,102,92,0.526,4,1747.2,3.96,4.41,0
1330,31.6,342,63,16,134,116,0.536,3,2123.2,3.8,3.83,0
1323,26.1,312,103,23,144,106,0.576,1,2187,3.7,3.59,0
1311,28.1,277,62,13,127,87,0.593,0,1889,3.85,3.8,0
1305,19,357,66,14,90,105,0.462,8,1787.2,3.58,3.45,0
1303,17.4,403,56,15,104,103,0.502,8,1939.2,3.64,3.81,0
1301,18.2,414,74,14,122,129,0.486,19,2120.1,3.54,3.5,0
1298,12.1,639,28,7,92,111,0.453,71,1807.2,3.81,3.78,0
1290,32.9,344,34,10,131,112,0.539,1,2075.1,4.32,4.73,0
1284,20,361,28,8,126,103,0.55,4,1907.2,3.8,3.69,0
1283,27.7,266,78,20,104,92,0.531,2,1748.1,3.15,3.1,0
1282,20.9,280,105,29,131,91,0.59,2,1886,3.39,3.72,0
1279,23.9,398,54,11,162,136,0.544,0,2560,3.93,4,0
1276,22.7,281,85,23,117,86,0.576,0,1750.1,3.36,3.37,0
1266,22.9,452,35,12,126,123,0.506,8,2240,3.79,3.82,0
1257,40.6,360,152,40,164,139,0.541,1,2661.1,2.97,3.37,0
1256,6.2,345,15,8,99,93,0.516,1,1764.2,4.56,4.53,0
1252,27.9,263,33,10,107,87,0.552,0,1760.1,3.74,4.01,0
1251,29.4,1022,0,0,71,92,0.436,478,1289.1,3.03,2.93,0
1251,12.9,524,34,6,109,106,0.507,57,1958.1,3.79,3.65,0
1243,24.6,240,17,3,91,79,0.535,0,1483.1,4.08,4.09,0
1242,25.1,318,31,6,129,105,0.551,0,1954.2,4.51,4.19,0
1225,17.9,353,44,15,112,131,0.461,1,2072.2,4.01,3.77,0
1197,16.1,430,53,20,111,99,0.529,11,1817.1,3.38,3.48,0
1191,17.5,496,86,22,151,158,0.489,14,2683.2,4.03,4.27,0
1181,22.9,332,19,8,117,109,0.518,0,1973,4.06,4.24,0
1179,22.9,1252,0,0,87,80,0.521,144,1295.1,3.16,3.61,0
1179,21.2,475,64,14,114,109,0.511,25,2038.2,3.62,3.69,0
1175,22.4,245,26,5,89,84,0.514,0,1555.1,4.15,3.63,0
1175,16.6,495,32,10,88,75,0.54,51,1576,3.4,3.64,0
1173,24.6,325,13,6,104,105,0.498,1,1827.1,4.09,4.41,0
1173,21.5,309,21,7,98,110,0.471,1,1810.2,4.12,4.26,0
1163,20.6,452,64,17,129,112,0.535,22,2111.2,3.44,3.43,0
1156,15.2,398,60,14,108,86,0.557,27,1590,3.29,3.55,0
1146,31.2,325,62,18,123,108,0.532,0,2148.2,3.59,3.62,0
1145,17.3,355,61,17,123,127,0.492,1,2109,4.14,3.75,0
1141,19.3,703,4,0,74,90,0.451,54,1467,3.69,3.85,0
1141,10.2,476,74,27,145,113,0.562,15,2231.1,3.83,3.72,0
1137,13.1,394,73,10,119,113,0.513,6,2016.2,4.07,4.1,0
1136,15.1,345,71,14,138,119,0.537,1,2128,3.46,3.37,0
1134,16,346,16,4,109,95,0.534,5,1826.1,4.03,4.27,0
1133,19.1,498,67,19,168,136,0.553,3,2794.2,3.76,3.84,0
1128,24.7,351,41,16,115,98,0.54,1,1884.1,3.65,3.69,0
1128,30.2,374,72,17,111,110,0.502,14,1951,3.35,3.28,0
1121,34.4,394,52,18,140,119,0.541,2,2308,3.71,3.69,0
1120,2.1,352,63,13,113,97,0.538,6,1767.2,4.07,4,0
1113,9.9,361,32,8,116,126,0.479,2,2055.1,4.72,4.38,0
1112,21.4,718,13,2,82,79,0.509,252,1403.2,3.46,3.38,0
