@RELATION data_for_weka

@ATTRIBUTE pa REAL
@ATTRIBUTE ab REAL
@ATTRIBUTE r REAL
@ATTRIBUTE h REAL
@ATTRIBUTE 2b REAL
@ATTRIBUTE 3b REAL
@ATTRIBUTE hr REAL
@ATTRIBUTE rbi REAL
@ATTRIBUTE sb REAL
@ATTRIBUTE bb REAL
@ATTRIBUTE ba REAL
@ATTRIBUTE obp REAL
@ATTRIBUTE slg REAL
@ATTRIBUTE ops REAL
@ATTRIBUTE hof {0,1}

@DATA
719,628,50,141,22,2,9,58,3,75,0.225,0.31,0.309,0.619,1
10594,9570,1391,2961,458,309,97,1525,367,760,0.309,0.362,0.452,0.814,1
8840,7579,1233,2285,515,118,170,1424,87,1059,0.301,0.39,0.468,0.857,1
1084,1068,149,227,29,9,0,107,3,16,0.213,0.224,0.257,0.481,1
8100,7161,1305,2299,394,157,128,1065,328,676,0.321,0.386,0.474,0.86,1
10178,9045,1545,2665,453,163,73,1440,619,874,0.295,0.362,0.405,0.767,1
10769,9927,1373,2774,503,98,438,1591,314,589,0.279,0.323,0.482,0.806,1
766,717,76,161,23,4,8,76,5,9,0.225,0.235,0.301,0.536,1
8400,7511,1600,2597,522,186,101,1466,455,741,0.346,0.411,0.505,0.916,1
7065,6300,930,1969,343,72,202,1209,36,678,0.313,0.382,0.486,0.868,1
7672,6821,1390,2214,389,131,361,1537,30,790,0.325,0.398,0.579,0.977,1
6299,5348,960,1515,243,52,253,970,47,871,0.283,0.386,0.49,0.876,1
8028,7093,1094,2042,381,89,223,1247,54,809,0.288,0.362,0.461,0.823,1
1309,1169,96,218,26,7,29,113,0,60,0.186,0.228,0.295,0.523,1
7841,7044,1554,2293,325,119,106,1302,574,664,0.326,0.386,0.451,0.837,1
5829,5350,575,1320,210,56,24,567,31,377,0.247,0.299,0.32,0.619,1
196,181,9,24,3,0,3,12,0,9,0.133,0.173,0.199,0.372,1
7212,6137,919,1659,216,70,12,536,324,778,0.27,0.356,0.334,0.69,1
5772,5363,1129,1625,250,178,71,883,354,392,0.303,0.351,0.456,0.807,1
1556,1269,98,170,21,2,3,70,7,169,0.134,0.24,0.161,0.401,1
1483,1282,99,193,28,13,8,99,1,100,0.151,0.214,0.211,0.425,1
7076,6028,687,1692,324,45,28,734,29,931,0.281,0.378,0.363,0.741,1
201,180,10,31,3,0,2,9,0,3,0.172,0.186,0.222,0.408,1
9853,8756,1276,2356,421,47,376,1330,128,849,0.269,0.341,0.457,0.797,1
6414,5597,950,1752,268,164,48,756,330,597,0.313,0.389,0.445,0.834,1
1207,1023,91,177,19,0,3,69,3,113,0.173,0.256,0.2,0.457,1
10351,9232,1279,2663,355,112,35,790,76,719,0.288,0.348,0.363,0.71,1
9676,8134,1751,2646,458,125,534,1922,87,1452,0.325,0.428,0.609,1.038,1
10099,9112,1532,2880,466,138,105,1244,419,728,0.316,0.369,0.432,0.801,1
2788,2748,278,552,87,31,5,220,23,38,0.201,0.212,0.261,0.473,1
9663,8001,1888,2721,534,163,493,1995,102,1508,0.34,0.447,0.632,1.08,1
10245,8860,1775,2839,574,146,184,1427,181,1186,0.32,0.404,0.48,0.884,1
1489,1328,132,274,44,5,24,144,13,63,0.206,0.243,0.301,0.545,1
1645,1323,93,246,25,2,1,90,1,101,0.186,0.244,0.21,0.454,1
1023,904,59,133,11,0,0,58,1,50,0.147,0.194,0.159,0.353,1
6535,5707,914,1530,264,52,253,975,89,759,0.268,0.357,0.466,0.822,1
9829,8656,1482,2735,500,173,248,1612,176,949,0.316,0.387,0.5,0.887,1
93,85,1,9,1,0,0,2,0,4,0.106,0.146,0.118,0.264,1
6098,5193,1046,1628,379,71,331,1274,58,852,0.313,0.412,0.605,1.017,1
11304,9801,1662,2781,524,38,630,1836,184,1312,0.284,0.37,0.538,0.907,1
1580,1380,202,321,49,17,8,166,22,166,0.233,0.318,0.31,0.628,1
1686,1535,157,380,62,11,2,168,15,69,0.248,0.282,0.306,0.588,1
1578,1369,119,202,27,5,15,121,1,105,0.148,0.209,0.207,0.417,1
10232,9288,1383,3141,543,85,135,1138,319,790,0.338,0.388,0.459,0.847,1
5115,4625,777,1466,341,67,164,833,70,372,0.317,0.372,0.526,0.898,1
1214,1124,76,209,23,2,3,79,2,30,0.186,0.208,0.218,0.426,1
7608,6283,1697,2164,242,95,40,742,914,1189,0.344,0.455,0.432,0.888,1
5563,5074,930,1317,159,79,30,517,329,471,0.26,0.325,0.34,0.664,1
5559,4736,722,1297,224,64,9,508,167,472,0.274,0.352,0.354,0.706,1
7297,6432,867,1912,396,64,236,1179,28,703,0.297,0.37,0.489,0.858,1
8964,7787,1291,2660,542,151,183,1540,113,856,0.342,0.41,0.52,0.93,1
13346,10961,2295,3055,510,66,297,1115,1406,2190,0.279,0.401,0.419,0.82,1
8638,7707,1163,2345,486,82,47,839,67,737,0.304,0.367,0.407,0.774,1
1884,1614,213,414,60,20,25,172,13,241,0.257,0.354,0.365,0.719,1
10254,8785,1429,2466,389,160,75,816,375,1136,0.281,0.368,0.387,0.755,1
9480,8173,1579,2930,541,169,301,1584,135,1038,0.358,0.434,0.577,1.01,1
1422,1287,96,255,26,11,0,100,0,40,0.198,0.223,0.235,0.458,1
1395,1288,95,246,30,2,4,101,1,33,0.191,0.212,0.227,0.439,1
6795,5558,948,1474,146,50,9,318,324,1003,0.265,0.382,0.314,0.696,1
710,658,60,149,16,3,6,51,2,8,0.226,0.234,0.287,0.521,1
2893,2499,366,731,97,31,99,443,28,351,0.293,0.383,0.475,0.858,1
11418,9864,1551,2584,463,49,563,1702,228,1375,0.262,0.356,0.49,0.846,1
6681,6086,833,1768,291,86,135,929,71,412,0.291,0.337,0.433,0.77,1
1010,896,54,148,27,6,13,85,0,41,0.165,0.2,0.252,0.452,1
5648,4895,992,1526,232,88,18,840,359,347,0.312,0.391,0.406,0.797,1
691,625,20,78,14,0,1,40,0,19,0.125,0.153,0.152,0.305,1
2525,2324,241,547,94,41,24,255,13,110,0.235,0.274,0.342,0.616,1
911,817,46,118,21,6,1,51,10,54,0.144,0.198,0.188,0.387,1
11596,10116,1622,3007,498,75,399,1582,137,1277,0.297,0.376,0.48,0.855,1
2262,2083,248,390,60,38,12,134,13,175,0.187,0.252,0.27,0.521,1
9610,8591,1719,2932,241,145,33,810,495,524,0.341,0.388,0.415,0.802,1
7529,6702,880,2054,385,50,78,870,51,621,0.306,0.367,0.414,0.781,1
8139,7006,1421,2220,358,194,65,1194,443,911,0.317,0.402,0.451,0.853,1
